link,judul,tanggal,portal
https://mediacyberbhayangkara.com/cegah-penyebaran-covid19-masuk-polres-bogor-wajib-qr-code-aplikasi-peduli-lindungi/,"Cegah Penyebaran Covid19, Masuk Polres Bogor Wajib QR Code Aplikasi Peduli Lindungi -",2021-09-30,mediacyberbhayangkara
https://ambon.tribunnews.com/ucnews/2021/09/30/pelabuhan-ambon-mulai-sosialisasi-penggunaan-aplikasi-peduli-lindungi-bagi-penumpang,Pelabuhan Ambon Mulai Sosialisasi Penggunaan Aplikasi Peduli Lindungi bagi Penumpang,2021-09-30,Tribunambon.com
https://jatimtimes.com/baca/250945/20210930/113800/tekan-penyebaran-covid-19-polres-blitar-kota-terapkan-aplikasi-peduli-lindungi,"Tekan Penyebaran Covid-19, Polres Blitar Kota Terapkan Aplikasi Peduli Lindungi",2021-09-30,Jatimtimes
https://jogja.suara.com/read/2021/09/29/140344/diy-siapkan-aplikasikan-peduli-lindungi-di-sekolah,DIY Siapkan Aplikasikan Peduli Lindungi di Sekolah,2021-09-29,Suarajogja.id
https://beritacikarang.com/masuk-kantor-pemkab-bekasi-wajib-pakai-aplikasi-peduli-lindungi/,Masuk Kantor Pemkab Bekasi Wajib Pakai Aplikasi Peduli Lindungi,2021-09-29,Berita Cikarang
https://jatimnet.com/cegah-covid-pemkot-mojokerto-terapkan-scan-barcode-peduli-lindungi,"Cegah Covid, Pemkot Mojokerto Terapkan Scan Barcode Peduli Lindungi",2021-09-29,jatimnet.com
https://jatengpos.co.id/terapkan-aplikasi-peduli-lindungi-wisata-tawangmangu-terkendala-jaringan-internet/rita/,"Terapkan Aplikasi Peduli Lindungi, Wisata Tawangmangu Terkendala Jaringan Internet",2021-09-28,jatengpos.co.id
https://suaraindonesianews.com/news/anggota-dpr-ri-nurul-arifin-jamin-data-pada-aplikasi-peduli-lindungi-aman/,Anggota DPR RI Nurul Arifin Jamin Data pada Aplikasi Peduli Lindungi Aman,2021-09-28,Suara Indonesia News
https://beritajatim.com/kembali-buka-wisata-sumber-banteng-kota-kediri-gunakan-aplikasi-peduli-lindungi,"Kembali Buka, Wisata Sumber Banteng Kota Kediri Gunakan Aplikasi Peduli Lindungi",2021-09-25,beritajatim.com
https://ambon.tribunnews.com/2021/09/24/masuk-mall-di-ambon-pakai-aplikasi-peduli-lindungi-wakil-rakyat-bikin-masyarakat-tertekan,"Masuk Mall di Ambon Pakai Aplikasi Peduli Lindungi, Wakil Rakyat; Bikin Masyarakat Tertekan",2021-09-24,Tribunambon.com
https://blitarkota.go.id/berita/qr-code-peduli-lindungi-masih-diajukan-ke-pemerintah-pusat-pemeriksaan-bukti-vaksin-wisata-mbk-dilakukan-manual,"QR Code Peduli Lindungi Masih Diajukan ke Pemerintah Pusat, Pemeriksaan Bukti Vaksin Wisata MBK Dilakukan Manual",2021-09-22,Pemerintah Kota Blitar
https://www.idxchannel.com/economics/pedulilindungi-tembus-1-juta-pengguna-di-bandara-ap-ii,PeduliLindungi Tembus 1 Juta Pengguna di Bandara AP IIÂ,2021-09-22,IDX Channel
https://radarsemarang.jawapos.com/salatiga/721384894/samsat-salatiga-uji-coba-aplikasi-peduli-lindungi,Samsat Salatiga Uji Coba Aplikasi Peduli Lindungi - Radar Semarang,2021-09-22,Radar Semarang
https://klikjatim.com/bioskop-golden-tulungagung-screening-pengunjung-dengan-aplikasi-peduli-lindungi/,Bioskop Golden Tulungagung Screening Pengunjung dengan Aplikasi Peduli Lindungi News,2021-09-22,KlikJatim.com
https://mettanews.id/gibran-dorong-seluruh-tempat-makan-di-solo-gunakan-peduli-lindungi/,Gibran Dorong Seluruh Tempat Makan di Solo Gunakan Peduli Lindungi,2021-09-22,Mettanews.id
https://bekaci.suara.com/read/2021/09/21/120500/kontroversi-aplikasi-pelindunglindungi-di-indomaret-ini-penjelasan-pemkot-bekasi,"Kontroversi Aplikasi Pelindunglindungi di Indomaret, Ini Penjelasan Pemkot Bekasi",2021-09-21,Suarabekaci.id
https://gadgetren.com/2021/09/21/pesan-invalid-signature-di-aplikasi-pedulilindungi-147010/,"Muncul Pesan Invalid Signature di Aplikasi PeduliLindungi, Apa Maksudnya?",2021-09-21,Gadgetren
